Gene.symbol,adj.P.Val,P.Value,logFC
,0.00604407,3.46E-05,-4.29E-01
,0.00609162,3.51E-05,-1.77
CACNA1D,0.00609162,3.51E-05,-2.22
DUOX2,0.0061261,3.55E-05,-3.24
,0.0061261,3.56E-05,-8.14E-01
,0.0061261,3.56E-05,-4.04E-01
USP3,0.00613184,3.58E-05,-1.03
PALLD,0.0062042,3.63E-05,2.01
PALLD,0.00625175,3.68E-05,1.78
SLC16A5,0.00625175,3.68E-05,-1.43
VEGFA,0.00627822,3.71E-05,-1.39
SLC4A11,0.00627822,3.72E-05,-2.31
ANGPT2,0.00631483,3.77E-05,-1.62
,0.00631483,3.78E-05,-2.89E-01
SLC20A1,0.00631483,3.78E-05,-1.15
NOSTRIN,0.00636629,3.82E-05,-8.61E-01
,0.00643076,3.88E-05,-1.55
DIAPH3,0.00643076,3.88E-05,1.82
LINC00967,0.00643076,3.89E-05,-2.31
ANXA5,0.00643151,3.92E-05,1.63
ZMYND8,0.00643151,3.93E-05,-1.44
MXRA7,0.00643151,3.93E-05,1.16
SLC25A27,0.00645022,3.95E-05,-1.9
GTDC1,0.0064621,3.97E-05,-4.93E-01
LRRFIP1,0.0064621,3.98E-05,-9.79E-01
YWHAQ,0.00646943,4.01E-05,5.15E-01
CAPN10,0.00646943,4.03E-05,-3.26E-01
SEC22C,0.00646943,4.03E-05,9.86E-01
,0.00646943,4.04E-05,-1.43
LINC00930,0.00646943,4.06E-05,-6.40E-01
GGT6,0.00646943,4.06E-05,-3.25
CENPW,0.00647529,4.07E-05,1.61
FBP1,0.00659831,4.16E-05,-3.03
LOC101928916///NNMT,0.00662861,4.19E-05,2.33
TMEM198B,0.00663322,4.21E-05,-8.82E-01
MCCC2,0.00674228,4.29E-05,-1.12
,0.00683628,4.36E-05,-1.41
,0.00688651,4.41E-05,-1.31
UGGT2,0.00688651,4.42E-05,-4.19E-01
H2AFY,0.00691776,4.47E-05,-1.1
,0.00691776,4.48E-05,-1.73
CSNK1A1,0.00691776,4.48E-05,-6.51E-01
SMC4,0.00696948,4.53E-05,9.64E-01
ZAK,0.00700036,4.56E-05,1.98
ABCC3,0.00700036,4.59E-05,-2.34
MSANTD3,0.00700036,4.59E-05,1.33
,0.00700036,4.60E-05,-1.05
AIG1,0.00707366,4.66E-05,-1.07
GAS2L3,0.00713014,4.71E-05,1.77
COL3A1,0.007208,4.78E-05,1.88
RAB11A,0.007208,4.79E-05,-1.43
SLC20A1,0.0072085,4.80E-05,-2.43
FLNA,0.0072085,4.81E-05,1.87
SPATA20,0.00721084,4.83E-05,-1.09
ZAK,0.00721084,4.84E-05,1.57
MCTP2,0.00724795,4.88E-05,-1.27
PPP2R3A,0.00725013,4.89E-05,1.69
FLT1,0.00725629,4.91E-05,-3.86E-01
SREK1,0.00731189,4.98E-05,-1.25
ZBTB7C,0.00731189,4.98E-05,-2.36
TUBB2A,0.00731189,4.99E-05,1.95
NANOG,0.00731234,5.00E-05,-4.03E-01
SLC26A6,0.00731867,5.02E-05,-9.20E-01
,0.00736257,5.07E-05,-2.78E-01
MAST4,0.00736257,5.08E-05,-2
CALD1,0.00740557,5.12E-05,1.54
,0.0074163,5.14E-05,-6.90E-01
TRIM38,0.00744286,5.18E-05,-1.21
DPH6,0.00744286,5.21E-05,-8.82E-01
FOSB,0.00744286,5.21E-05,-2.33
LMTK2,0.00744286,5.23E-05,-1.36
RRM2,0.00744286,5.24E-05,1.58
,0.00744286,5.24E-05,2
,0.00751467,5.31E-05,-3.99E-01
PBLD,0.0075648,5.36E-05,-1.32
,0.0075648,5.37E-05,-7.90E-01
MYLIP,0.00757516,5.40E-05,-2.12
CDH26,0.00757516,5.40E-05,-1.78
,0.00765529,5.48E-05,-2.28
CDC25B,0.00765529,5.50E-05,2.22
LOC101928916///NNMT,0.00765529,5.50E-05,2.93
CFL2,0.00766152,5.53E-05,1.77
GREM1,0.00766152,5.54E-05,4.18
,0.00770608,5.58E-05,-1.07
DCN,0.00772709,5.61E-05,2.62
SYTL5,0.00774221,5.64E-05,-2.28
LOC90246,0.00776057,5.68E-05,-2.24E-01
ZBTB44,0.00776057,5.68E-05,-7.69E-01
ZMYND8,0.00776057,5.69E-05,-1.02
LOC339988,0.00778388,5.74E-05,-6.39E-01
YWHAQ,0.00778388,5.75E-05,6.01E-01
DNM2,0.00778388,5.75E-05,-1.07
ARHGEF40,0.00780049,5.78E-05,-1.55E-01
NEK2,0.00782962,5.81E-05,1.67
NPAS2,0.00790666,5.89E-05,-2.27
BIRC5,0.00791226,5.90E-05,1.81
ASPM,0.00791441,5.92E-05,1.95
PLOD1,0.00798908,5.99E-05,1.05
SKA2,0.00798949,6.01E-05,1.38
,0.00799735,6.03E-05,-1.39
RTN4,0.00799735,6.04E-05,6.95E-01
YIF1B,0.00812785,6.15E-05,1.08
,0.00813655,6.18E-05,-5.73E-01
,0.00818778,6.23E-05,-1.38
CAPN1,0.00820393,6.27E-05,-1.03
ARHGEF28,0.00820393,6.27E-05,-6.72E-01
AEBP1,0.00820393,6.31E-05,3.07
C11orf24,0.00820393,6.32E-05,9.19E-01
TRIOBP,0.00820393,6.33E-05,-9.23E-01
DSC2,0.00820393,6.35E-05,2.49
PLLP,0.00820393,6.35E-05,-2.04
ACER2,0.00820393,6.36E-05,-3.85
PGPEP1,0.00823985,6.41E-05,-4.25E-01
TIMP2,0.00825598,6.43E-05,2.31
ANXA10,0.00831995,6.50E-05,-3.78
AAED1,0.00835914,6.54E-05,2.17
PSMD1,0.00839271,6.59E-05,6.14E-01
FNDC1,0.00839271,6.61E-05,3.52
SULT1A1,0.00839271,6.62E-05,-1.1
CYP2J2,0.00844795,6.67E-05,-2.82
FAM83D,0.00851973,6.76E-05,1.73
ZNF816-ZNF321P///ZNF321P,0.00851973,6.76E-05,-8.72E-01
,0.00854954,6.81E-05,-6.24E-01
FAM174B,0.00854954,6.82E-05,-2.14
COL5A2,0.00855097,6.86E-05,1.89
ACOXL,0.00855097,6.86E-05,-2.13
NEDD8,0.00855097,6.89E-05,6.57E-01
NPIPA5///NPIPB6///NPIPB8///NPIPB3,0.00855097,6.89E-05,-9.65E-01
KDELR3,0.00855097,6.90E-05,2.06
TYW5,0.0085673,6.93E-05,-3.48E-01
FBXL17,0.00861606,6.98E-05,-1.06
SYNC,0.00865054,7.02E-05,2.08
CD58,0.00867728,7.08E-05,-8.95E-01
SGCE,0.00867728,7.09E-05,2.53
EXOSC3,0.00867728,7.11E-05,1.64
CLIC4,0.00867728,7.11E-05,1.79
MAPK10,0.00868478,7.13E-05,-1.25
RTN4,0.00873432,7.19E-05,5.27E-01
,0.00875908,7.23E-05,-7.71E-01
SLX1B-SULT1A4///SLX1A-SULT1A3///SULT1A4///SULT1A3,0.00881197,7.28E-05,-1.18
PNMA1,0.00881227,7.30E-05,1.34
CHST11,0.00893093,7.42E-05,2.35
COL1A2,0.00893093,7.43E-05,1.78
LOC101930071///LIPE-AS1,0.008978,7.51E-05,-3.84E-01
,0.008978,7.51E-05,-1.15
,0.008978,7.53E-05,-2.48E-01
FAM174B,0.008978,7.54E-05,-1.67E-01
YWHAQ,0.008978,7.55E-05,8.20E-01
LOC401021///HOXD4///HOXD3,0.00903972,7.62E-05,-4.58E-01
ADCY7,0.00911137,7.70E-05,2.28
,0.00918631,7.78E-05,-1.06
RAB23,0.00919252,7.80E-05,1.67
SNX10,0.00919763,7.82E-05,1.79
CYBRD1,0.00921729,7.87E-05,2.3
ABCC3,0.00921729,7.87E-05,-1.48
LOC102724002,0.00926043,7.93E-05,-6.68E-01
KCCAT333,0.00927125,7.95E-05,-4.33
SULF1,0.00932082,8.01E-05,3.39
KDELC1,0.00937529,8.08E-05,1.79
,0.00938352,8.10E-05,-9.00E-01
SNX14,0.0095206,8.24E-05,-9.98E-01
BAZ2A,0.0095206,8.25E-05,-6.13E-01
DLGAP5,0.00954934,8.30E-05,1.81
CHI3L1,0.0095966,8.37E-05,2.93
STAP2,0.0095966,8.37E-05,-1.08
COL5A2,0.00961887,8.41E-05,2.35
,0.00963876,8.44E-05,-1.33
DEPDC1,0.00970864,8.52E-05,1.96
AAGAB,0.00976302,8.59E-05,-2.58E-01
SNX24,0.0097772,8.63E-05,1.1
,0.0097772,8.64E-05,-1.75
,0.0099303,8.81E-05,-8.73E-01
,0.0099303,8.81E-05,-1.04
USP53,0.0100067,8.89E-05,-6.37E-01
OR7E14P,0.01002471,8.94E-05,-2.27
,0.01002471,8.95E-05,-3.39E-01
MYLK,0.0100761,9.01E-05,2
GALNT10,0.01012632,9.08E-05,1.65
CLCN3,0.01012632,9.09E-05,-1.06
AKT3,0.01014626,9.13E-05,1.98
PAIP1,0.01018233,9.19E-05,9.02E-01
FGD5,0.01018233,9.20E-05,-1.78
FAM174B,0.01023558,9.28E-05,-2.19
CFL2,0.01023558,9.29E-05,2.31
AP2B1,0.01028692,9.35E-05,1.52
,0.01038253,9.46E-05,-4.46E-01
SIN3B,0.01044508,9.53E-05,-9.55E-01
,0.01045356,9.56E-05,-7.32E-01
CENPF,0.0104599,9.58E-05,1.46
,0.01050418,9.65E-05,-1.12
MT1X,0.01050418,9.67E-05,2.13
,0.01050418,9.68E-05,1.86
SORL1,0.01053452,9.73E-05,-2.06
IQCH-AS1,0.01055368,9.77E-05,-9.65E-01
LUM,0.01056609,9.80E-05,1.66
FAM3D,0.01060801,9.86E-05,-2.48
FLNA,0.01060801,9.89E-05,1.94
RALGAPA2,0.01060801,9.89E-05,-2.1
FERMT2,0.01073117,1.00E-04,1.78
CYP4B1,0.01073492,1.01E-04,-4.32
CALD1,0.01075944,1.01E-04,1.83
,0.01077694,1.02E-04,2.43
,0.01077694,1.02E-04,-1.73
LARP1B,0.01077694,1.02E-04,-1.25
TBRG1,0.01077694,1.02E-04,-3.08E-01
GFOD2,0.01077694,1.02E-04,-6.09E-01
MCTP2,0.0108082,1.03E-04,-6.28E-01
,0.01090229,1.04E-04,-8.02E-01
,0.01091494,1.04E-04,-2.86E-01
AKT3,0.01095637,1.05E-04,1.66
TOX3,0.01099947,1.05E-04,-4.51
,0.01099947,1.05E-04,-1.49
RNF44,0.01101482,1.06E-04,-9.58E-01
TSPAN14,0.01101482,1.06E-04,-1.48
PLEKHH1,0.01101482,1.06E-04,-2.02
GNA12,0.01101482,1.06E-04,8.77E-01
SFRP2,0.01103607,1.07E-04,4.65
CDH8,0.01103607,1.07E-04,-8.86E-01
VPS37B,0.01103607,1.07E-04,-1.1
RRM2,0.01103607,1.08E-04,1.67
CLCN3,0.01103607,1.08E-04,-1.16
PDIA6,0.01104245,1.08E-04,9.02E-01
SYTL4,0.01107222,1.08E-04,-7.48E-01
,0.0110875,1.09E-04,-1.02
SEMA6A,0.01114693,1.09E-04,-1.51
CDC27,0.01125794,1.11E-04,1.06
SMC4,0.0113579,1.12E-04,1.43
SOCS5,0.01135913,1.12E-04,8.59E-01
SHTN1,0.01137151,1.13E-04,1.49
LIX1L,0.01140189,1.13E-04,1.29
,0.01140843,1.13E-04,-1.94
PPFIBP2,0.01142573,1.14E-04,-2.69
,0.01148185,1.14E-04,-8.57E-01
,0.0114832,1.15E-04,-6.63E-01
SLFN11,0.011523,1.16E-04,2.23
AURKA,0.011523,1.16E-04,1.73
,0.011523,1.16E-04,-8.64E-01
CRACR2B,0.011523,1.16E-04,-9.33E-01
TRIM38,0.0115312,1.16E-04,-1.05
LOC101929964///LINC01184,0.01161549,1.17E-04,-1.69
MYLIP,0.01161549,1.18E-04,-1.1
NR3C1,0.01161549,1.18E-04,1.71
NUP155,0.01162587,1.18E-04,1.42
INHBA,0.01168954,1.19E-04,3.06
SLTM,0.01169579,1.19E-04,-7.42E-01
LMCD1,0.01172778,1.20E-04,1.99
PDIA6,0.01172778,1.20E-04,9.40E-01
MXRA8,0.01177172,1.21E-04,2.1
SRPX,0.01177172,1.21E-04,2.7
SGCB,0.01177172,1.21E-04,1.09
,0.01177172,1.21E-04,-1.86
RAI1,0.01182206,1.22E-04,-1.17
ACCS,0.01182443,1.22E-04,-4.01E-01
CROT,0.01184315,1.23E-04,-1.16
C8orf88,0.01184315,1.23E-04,2.31
FZD1,0.01185115,1.23E-04,1.49
ACTG2,0.01191533,1.24E-04,3.05
CRISPLD1,0.01191533,1.24E-04,2.42
RPL23AP7///CENPBD1P1,0.01197579,1.25E-04,7.03E-01
,0.01198795,1.25E-04,-3.71E-01
TRAK1,0.01198799,1.26E-04,-2.06
RCN3,0.01198799,1.26E-04,2.16
SRC,0.01200151,1.26E-04,-1.39
MLLT11,0.01200151,1.26E-04,1.74
IFT140,0.01200238,1.27E-04,-1.22
NQO1,0.01202722,1.27E-04,-1.8
TGFBR1,0.01205768,1.28E-04,9.70E-01
ARSD,0.01213663,1.29E-04,-1.41
PTRF,0.01216097,1.29E-04,1.9
TRIM62,0.01216097,1.29E-04,-6.45E-01
,0.01228352,1.31E-04,-6.24E-01
,0.01231771,1.32E-04,2.96
,0.01231771,1.32E-04,-9.98E-01
